Epoch 1000, Error: 1.0102794871738137
Epoch 2000, Error: 1.0052952894975926
Epoch 3000, Error: 0.9689778353767442
Epoch 4000, Error: 0.7855483639873146
Epoch 5000, Error: 0.33001966685720796
Epoch 6000, Error: 0.08169447119089382
Epoch 7000, Error: 0.03663204094991529
Epoch 8000, Error: 0.02215643500704372
Epoch 9000, Error: 0.015486102414024382
Epoch 10000, Error: 0.011752746657499973
Epoch 11000, Error: 0.009400223979737044
Epoch 12000, Error: 0.007795587651234064
Epoch 13000, Error: 0.006637471798211679
Epoch 14000, Error: 0.005765576566579314
Epoch 15000, Error: 0.005087338073629694
Epoch 16000, Error: 0.004545812227625831
Epoch 17000, Error: 0.004104160582330752
Epoch 18000, Error: 0.0037375560548885663
Epoch 19000, Error: 0.003428688963009719
Epoch 20000, Error: 0.003165140698941261
Epoch 21000, Error: 0.002937781388450943
Epoch 22000, Error: 0.0027397558125221337
Epoch 23000, Error: 0.0025658210380778597
Epoch 24000, Error: 0.0024119017144061507
Epoch 25000, Error: 0.0022747842041470033
Epoch 26000, Error: 0.0021519016537467116
Epoch 27000, Error: 0.002041180054501917
Epoch 28000, Error: 0.0019409260811995353
Epoch 29000, Error: 0.00184974409649681
Epoch 30000, Error: 0.0017664738692538783
Epoch 31000, Error: 0.0016901432356988698
Epoch 32000, Error: 0.0016199316949112512
Epoch 33000, Error: 0.0015551421105999262
Epoch 34000, Error: 0.001495178495217353
Epoch 35000, Error: 0.001439528408666279
Epoch 36000, Error: 0.0013877488941656379
Epoch 37000, Error: 0.0013394551513681127
Epoch 38000, Error: 0.0012943113465937585
Epoch 39000, Error: 0.0012520231054957696
Epoch 40000, Error: 0.0012123313405102464
Epoch 41000, Error: 0.0011750071449935907
Epoch 42000, Error: 0.0011398475456347757
Epoch 43000, Error: 0.0011066719498951287
Epoch 44000, Error: 0.0010753191596963075
Epoch 45000, Error: 0.0010456448490812162
Epoch 46000, Error: 0.001017519424107081
Epoch 47000, Error: 0.0009908261992465969
Epoch 48000, Error: 0.0009654598371510107
Epoch 49000, Error: 0.0009413250085660123
Epoch 50000, Error: 0.0009183352370908861
Epoch 51000, Error: 0.000896411899784066
Epoch 52000, Error: 0.000875483359691978
Epoch 53000, Error: 0.000855484210476025
Epoch 54000, Error: 0.0008363546166389109
Epoch 55000, Error: 0.0008180397355630162
Epoch 56000, Error: 0.0008004892097965787
Epoch 57000, Error: 0.000783656719849513
Epoch 58000, Error: 0.0007674995892711441
Epoch 59000, Error: 0.0007519784350336162
Epoch 60000, Error: 0.0007370568572863071
Epoch 61000, Error: 0.0007227011634168319
Epoch 62000, Error: 0.0007088801220845981
Epoch 63000, Error: 0.0006955647435050577
Epoch 64000, Error: 0.0006827280827818032
Epoch 65000, Error: 0.0006703450635212298
Epoch 66000, Error: 0.0006583923193363661
Epoch 67000, Error: 0.0006468480511638682
Epoch 68000, Error: 0.0006356918985878436
Epoch 69000, Error: 0.0006249048235961367
Epoch 70000, Error: 0.0006144690053932596
Epoch 71000, Error: 0.0006043677450650378
Epoch 72000, Error: 0.0005945853790376944
Epoch 73000, Error: 0.000585107200401352
Epoch 74000, Error: 0.0005759193872786235
Epoch 75000, Error: 0.0005670089375148323
Epoch 76000, Error: 0.0005583636090499416
Epoch 77000, Error: 0.0005499718654050549
Epoch 78000, Error: 0.0005418228257802018
Epoch 79000, Error: 0.0005339062193154769
Epoch 80000, Error: 0.0005262123431169719
Epoch 81000, Error: 0.0005187320236915649
Epoch 82000, Error: 0.0005114565814727317
Epoch 83000, Error: 0.000504377798152749
Epoch 84000, Error: 0.0004974878865660737
Epoch 85000, Error: 0.0004907794628954021
Epoch 86000, Error: 0.00048424552099386053
Epoch 87000, Error: 0.0004778794086389151
Epoch 88000, Error: 0.00047167480555016
Epoch 89000, Error: 0.0004656257030210549
Epoch 90000, Error: 0.0004597263850277182
Epoch 91000, Error: 0.0004539714106919248
Epoch 92000, Error: 0.0004483555979866612
Epoch 93000, Error: 0.0004428740085827505
Epoch 94000, Error: 0.00043752193374459734
Epoch 95000, Error: 0.0004322948811917625
Epoch 96000, Error: 0.0004271885628498388
Epoch 97000, Error: 0.00042219888342170107
Epoch 98000, Error: 0.000417321929715505
Epoch 99000, Error: 0.00041255396067208785
Epoch 100000, Error: 0.0004078913980387635

Testing the MLP on XOR data:
Input: [0, 0], Predicted: [0.008], Target: [0]
Input: [0, 1], Predicted: [0.991], Target: [1]
Input: [1, 0], Predicted: [0.989], Target: [1]
Input: [1, 1], Predicted: [0.012], Target: [0]
